date,cases,daily_cases,deaths,daily_deaths
2020-01-21,1,1,0,0
2020-01-22,1,0,0,0
2020-01-23,1,0,0,0
2020-01-24,2,1,0,0
2020-01-25,3,1,0,0
2020-01-26,5,2,0,0
2020-01-27,5,0,0,0
2020-01-28,5,0,0,0
2020-01-29,5,0,0,0
2020-01-30,6,1,0,0
2020-01-31,7,1,0,0
2020-02-01,8,1,0,0
2020-02-02,11,3,0,0
2020-02-03,11,0,0,0
2020-02-04,11,0,0,0
2020-02-05,12,1,0,0
2020-02-06,12,0,0,0
2020-02-07,12,0,0,0
2020-02-08,12,0,0,0
2020-02-09,12,0,0,0
2020-02-10,13,1,0,0
2020-02-11,13,0,0,0
2020-02-12,14,1,0,0
2020-02-13,15,1,0,0
2020-02-14,15,0,0,0
2020-02-15,15,0,0,0
2020-02-16,15,0,0,0
2020-02-17,25,10,0,0
2020-02-18,25,0,0,0
2020-02-19,25,0,0,0
2020-02-20,27,2,0,0
2020-02-21,30,3,0,0
2020-02-22,30,0,0,0
2020-02-23,30,0,0,0
2020-02-24,43,13,0,0
2020-02-25,45,2,0,0
2020-02-26,60,15,0,0
2020-02-27,60,0,0,0
2020-02-28,65,5,0,0
2020-02-29,70,5,1,1
2020-03-01,88,18,3,2
2020-03-02,104,16,6,3
2020-03-03,125,21,10,4
2020-03-04,161,36,12,2
2020-03-05,228,67,12,0
2020-03-06,311,83,15,3
2020-03-07,428,117,19,4
2020-03-08,547,119,22,3
2020-03-09,748,201,26,4
2020-03-10,1018,270,31,5
2020-03-11,1263,245,37,6
2020-03-12,1668,405,43,6
2020-03-13,2224,556,50,7
